NOT_NAMED	2000	10	26	18	7
ALLISON	2001	6	5	12	53
BARRY	2001	8	2	12	24
FLOSSIE	2001	8	30	18	10
GABRIELLE	2001	9	11	18	22
IVO	2001	9	13	18	6
JULIETTE	2001	9	29	12	15
MICHELLE	2001	11	5	12	4
ARTHUR	2002	7	14	18	4
BERTHA	2002	8	4	18	13
CRISTOBAL	2002	8	5	18	13
EDOUARD	2002	9	1	18	18
FAY	2002	9	5	18	22
GUSTAV	2002	9	9	0	11
NOT_NAMED	2002	9	9	6	4
HANNA	2002	9	12	0	15
ISELLE	2002	9	19	12	5
ISIDORE	2002	9	25	12	10
LILI	2002	10	2	12	9
KYLE	2002	10	5	0	28
BILL	2003	6	29	18	14
CLAUDETTE	2003	7	12	18	19
NOT_NAMED	2003	7	25	12	7
ERIKA	2003	8	14	18	10
IGNACIO	2003	8	25	12	10
GRACE	2003	8	30	18	11
HENRI	2003	9	3	18	21
KEVIN	2003	9	5	12	20
ISABEL	2003	9	17	6	12
MARTY	2003	9	22	18	14
ALEX	2004	7	31	18	16
BONNIE	2004	8	11	0	8
CHARLEY	2004	8	13	12	9
GASTON	2004	8	27	12	19
FRANCES	2004	9	2	12	34
HOWARD	2004	9	4	12	12
IVAN	2004	9	15	0	38
JAVIER	2004	9	18	18	4
JEANNE	2004	9	24	18	20
MATTHEW	2004	10	9	6	9
ARLENE	2005	6	10	18	15
CINDY	2005	7	5	6	22
DENNIS	2005	7	9	12	35
EMILY	2005	7	20	12	5
FRANKLIN	2005	7	21	18	14
KATRINA	2005	8	23	18	31
HILARY	2005	8	25	0	4
OPHELIA	2005	9	6	6	47
RITA	2005	9	19	6	29
OTIS	2005	10	3	6	9
TAMMY	2005	10	5	6	8
NOT_NAMED	2005	10	11	0	16
WILMA	2005	10	24	0	6
ALBERTO	2006	6	11	18	13
BERYL	2006	7	18	12	13
EMILIA	2006	7	26	6	11
ILEANA	2006	8	26	12	5
ERNESTO	2006	8	29	12	24
JOHN	2006	9	2	12	9
LANE	2006	9	17	0	3
MIRIAM	2006	9	20	0	6
ANDREA	2007	5	6	12	28
BARRY	2007	6	2	0	15
DALILA	2007	7	27	12	6
ERIN	2007	8	15	12	18
HENRIETTE	2007	9	5	6	5
GABRIELLE	2007	9	8	0	13
HUMBERTO	2007	9	12	6	10
NOT_NAMED	2007	9	21	12	4
JULIETTE	2007	10	2	0	9
NOEL	2007	11	1	6	14
CRISTOBAL	2008	7	19	0	14
DOLLY	2008	7	23	0	17
EDOUARD	2008	8	3	12	14
FAY	2008	8	18	18	39
JULIO	2008	8	25	0	10
GUSTAV	2008	8	31	12	21
HANNA	2008	9	4	12	13
IKE	2008	9	10	18	19
KYLE	2008	9	28	0	6
NORBERT	2008	10	11	12	5
PALOMA	2008	11	13	18	3
NOT_NAMED	2009	5	26	18	10
CLAUDETTE	2009	8	16	6	7
DANNY	2009	8	27	12	7
JIMENA	2009	9	2	12	13
MARTY	2009	9	19	18	3
OLAF	2009	10	2	18	8
IDA	2009	11	9	6	9
NOT_NAMED	2010	7	8	6	8
BONNIE	2010	7	23	0	12
NOT_NAMED	2010	8	10	6	32
EARL	2010	9	1	18	11
HERMINE	2010	9	7	0	13
GEORGETTE	2010	9	22	0	5
NICOLE	2010	9	30	0	3
BRET	2011	7	16	6	19
DORA	2011	7	24	18	6
DON	2011	7	29	0	6
EMILY	2011	8	6	0	8
IRENE	2011	8	24	18	21
LEE	2011	9	2	0	20
ALBERTO	2012	5	19	0	17
BERYL	2012	5	25	12	25
DEBBY	2012	6	23	12	17
FABIO	2012	7	18	0	10
HECTOR	2012	8	18	12	8
ISAAC	2012	8	26	12	24
ILEANA	2012	9	1	6	4
JOHN	2012	9	4	12	8
KRISTY	2012	9	16	0	16
NORMAN	2012	9	29	0	6
PAUL	2012	10	16	18	6
SANDY	2012	10	25	18	24
ANDREA	2013	6	5	18	13
DORIAN	2013	7	31	6	17
IVO	2013	8	25	6	11
JULIETTE	2013	8	29	6	7
LORENA	2013	9	7	18	6
MANUEL	2013	9	19	0	4
KAREN	2013	10	4	6	9
OCTAVE	2013	10	14	18	6
CRISTINA	2014	6	17	6	6
ARTHUR	2014	6	28	18	29
DOUGLAS	2014	7	5	6	3
BERTHA	2014	8	4	0	9
CRISTOBAL	2014	8	27	0	5
NORBERT	2014	9	6	0	21
ODILE	2014	9	15	12	11
RACHEL	2014	9	29	18	11
SIMON	2014	10	5	18	14
ANA	2015	5	6	6	25
BLANCA	2015	6	8	12	4
BILL	2015	6	16	0	21
CLAUDETTE	2015	7	12	0	7
DOLORES	2015	7	18	12	15
KEVIN	2015	9	5	18	3
LINDA	2015	9	9	12	13
NOT_NAMED	2015	9	20	18	4
JOAQUIN	2015	10	1	6	9
KATE	2015	11	9	6	8
ALEX	2016	1	7	0	4
BONNIE	2016	5	27	12	31
COLIN	2016	6	6	6	7
JAVIER	2016	8	9	12	5
HERMINE	2016	8	28	18	45
NOT_NAMED	2016	8	29	0	13
NEWTON	2016	9	6	18	7
JULIA	2016	9	13	6	33
PAINE	2016	9	20	0	7
ROSLYN	2016	9	29	12	6
MATTHEW	2016	10	6	0	17
CINDY	2017	6	20	12	13
EMILY	2017	7	30	18	9
GERT	2017	8	14	0	10
HARVEY	2017	8	25	0	35
NOT_NAMED	2017	8	27	18	9
LIDIA	2017	9	1	12	9
IRMA	2017	9	10	6	14
JOSE	2017	9	16	18	35
MARIA	2017	9	24	0	19
NATE	2017	10	7	12	12
ALBERTO	2018	5	27	6	18
BUD	2018	6	15	12	3
CHRIS	2018	7	6	0	22
BERYL	2018	7	11	6	7
JOHN	2018	8	9	6	19
GORDON	2018	9	3	0	20
FLORENCE	2018	9	12	18	24
NOT_NAMED	2018	9	19	12	4
ROSA	2018	9	30	6	10
MICHAEL	2018	10	9	12	13
SERGIO	2018	10	11	18	5
BARRY	2019	7	10	12	24
