start	11	1979	6	14	6
	373	15	-78.189606	23.775459	1.008620e+03	1.786462e+01	1979	6	14	6
	366	20	-78.873383	24.440399	1.007526e+03	1.430112e+01	1979	6	14	12
	366	28	-78.692566	25.274925	1.010027e+03	1.537387e+01	1979	6	14	18
	370	38	-77.994385	26.236172	1.009167e+03	1.707141e+01	1979	6	15	0
	369	44	-77.967102	26.886166	1.009774e+03	1.414214e+07	1979	6	15	6
	374	55	-77.102661	27.929840	1.010727e+03	1.414214e+07	1979	6	15	12
	366	60	-77.932281	28.632919	1.009227e+03	1.414214e+07	1979	6	15	18
	362	68	-78.217834	29.563395	1.009593e+03	1.414214e+07	1979	6	16	0
	358	82	-78.361542	31.131210	1.010065e+03	1.414214e+07	1979	6	16	6
	361	88	-77.836487	31.702591	1.009611e+03	1.414214e+07	1979	6	16	12
	356	107	-77.972900	33.830780	1.008264e+03	1.414214e+07	1979	6	16	18
start	7	1979	7	10	12
	347	81	-79.751587	31.251162	1.011277e+03	1.414214e+07	1979	7	10	12
	341	87	-80.365234	32.006977	1.011517e+03	1.414214e+07	1979	7	10	18
	344	88	-79.965118	32.055595	1.010288e+03	1.414214e+07	1979	7	11	0
	349	94	-79.192596	32.594852	1.011868e+03	1.414214e+07	1979	7	11	6
	363	103	-77.187408	33.249466	1.012745e+03	1.414214e+07	1979	7	11	12
	372	110	-75.845581	33.779961	1.014398e+03	1.414214e+07	1979	7	11	18
	403	131	-71.199371	35.157848	1.013767e+03	1.414214e+07	1979	7	12	0
start	24	1979	7	10	18
	232	5	-94.610382	24.409220	1.005532e+03	1.414214e+07	1979	7	10	18
	252	15	-92.222778	25.390635	1.002006e+03	1.603819e+01	1979	7	11	0
	260	29	-91.179016	26.834919	9.995725e+02	2.114195e+01	1979	7	11	6
	263	44	-90.699280	28.419994	9.894774e+02	2.425735e+01	1979	7	11	12
	268	61	-89.933411	30.208937	9.896876e+02	2.596159e+01	1979	7	11	18
	269	76	-89.662445	31.818279	9.962469e+02	1.483469e+01	1979	7	12	0
	276	93	-88.579468	33.592148	1.003932e+03	1.414214e+07	1979	7	12	6
	277	109	-88.255554	35.314133	1.007047e+03	9.312358e+00	1979	7	12	12
	283	122	-87.280823	36.657867	1.009468e+03	7.917504e+00	1979	7	12	18
	310	141	-83.279480	38.344444	1.009178e+03	1.414214e+07	1979	7	13	0
	293	134	-85.738678	37.834686	1.008972e+03	1.414214e+07	1979	7	13	6
	297	141	-85.069397	38.537243	1.008013e+03	9.568317e+00	1979	7	13	12
	319	164	-81.523041	40.665051	1.009343e+03	1.414214e+07	1979	7	13	18
	326	161	-80.609741	40.214924	1.008167e+03	1.414214e+07	1979	7	14	0
	343	160	-78.264709	39.763973	1.007689e+03	1.414214e+07	1979	7	14	6
	353	154	-77.060272	38.902222	1.008080e+03	1.414214e+07	1979	7	14	12
	361	158	-75.844635	39.138062	1.008897e+03	1.414214e+07	1979	7	14	18
	357	158	-76.392395	39.234127	1.009482e+03	1.414214e+07	1979	7	15	0
	365	142	-75.800476	37.343086	1.010257e+03	8.391253e+00	1979	7	15	6
	372	136	-75.058350	36.533485	1.011065e+03	6.676728e+00	1979	7	15	12
	355	129	-77.507599	36.195198	1.012550e+03	1.414214e+07	1979	7	15	18
	362	126	-76.672546	35.715668	1.012776e+03	1.414214e+07	1979	7	16	0
	369	121	-75.907379	35.018238	1.013095e+03	1.414214e+07	1979	7	16	6
	374	117	-75.382202	34.471878	1.012592e+03	1.414214e+07	1979	7	16	12
start	29	1979	7	22	12
	274	6	-89.718628	24.285627	1.006106e+03	1.414214e+07	1979	7	22	12
	266	5	-90.655457	24.241388	1.007517e+03	1.414214e+07	1979	7	22	18
	267	8	-90.515320	24.551779	1.004511e+03	1.164020e+01	1979	7	23	0
	265	16	-90.685486	25.415182	1.005501e+03	1.270259e+01	1979	7	23	6
	254	30	-91.891083	26.979179	1.004227e+03	1.412612e+01	1979	7	23	12
	244	33	-93.076508	27.351767	1.006013e+03	1.325443e+01	1979	7	23	18
	240	34	-93.554504	27.475721	1.003849e+03	1.543033e+01	1979	7	24	0
	237	37	-93.904968	27.808603	1.004447e+03	1.527150e+01	1979	7	24	6
	246	41	-92.792084	28.200281	1.002603e+03	2.519455e+01	1979	7	24	12
	239	49	-93.609802	29.090706	1.000525e+03	2.406057e+01	1979	7	24	18
	236	51	-93.971436	29.317106	1.000075e+03	1.642944e+01	1979	7	25	0
	236	58	-93.943237	30.071718	1.001734e+03	1.685477e+01	1979	7	25	6
	233	61	-94.306580	30.405470	1.000016e+03	1.786494e+01	1979	7	25	12
	231	61	-94.557007	30.411385	1.002343e+03	2.007501e+01	1979	7	25	18
	226	50	-95.209534	29.237049	9.998275e+02	2.000771e+01	1979	7	26	0
	227	55	-95.073425	29.773869	1.003446e+03	2.138141e+01	1979	7	26	6
	226	65	-95.173492	30.855879	1.001545e+03	1.857624e+01	1979	7	26	12
	222	69	-95.670135	31.295811	1.003044e+03	1.486258e+01	1979	7	26	18
	223	78	-95.525574	32.268921	1.002522e+03	1.414214e+07	1979	7	27	0
	221	89	-95.763397	33.465416	1.004995e+03	1.049683e+01	1979	7	27	6
	223	91	-95.498932	33.679424	1.004890e+03	9.453897e+00	1979	7	27	12
	226	106	-95.067139	35.303738	1.006770e+03	1.262483e+01	1979	7	27	18
	216	114	-96.393188	36.188877	1.007348e+03	1.414214e+07	1979	7	28	0
	249	122	-91.889282	36.950077	1.008226e+03	1.414214e+07	1979	7	28	6
	252	133	-91.391846	38.127014	1.007055e+03	8.596756e+00	1979	7	28	12
